UserName,AgeRange,Gender,Orientation,CurrentStatus,TogetherTime,RelationshipDescription,Value1,SelfValue1,PartnerValue1,Value2,SelfValue2,PartnerValue2,Value3,SelfValue3,PartnerValue3,Value4,SelfValue4,PartnerValue4,Value4,SelfValue5,PartnerValue5,Type1,PartnerType1,Type2,PartnerType2,Type3,PartnerType3,Type4,PartnerType4,Type5,PartnerType5,S_DecisionMakingProcess,QP_EmotionalIntelligence,Q_Jealous,Q_PartnerJealous,Q_Manipulative,QP_SexualChemistry,Q_AttractionLoss,Q_Suffocated,Q_Attention,Q_CouldDoBetter,Q_NotGoodEnough,QP_Longterm,QP_Independent,Q_Coping,QP_SelfCare,Q_EmotionallyDrained,Q_Depressed,Q_Abused,Q_PartnerAbuse,Q_ShutDown,Q_PartnerShutDown,Q_PrivacyRespected,Q_OnOff,Q_Judged,QP_Communication,Q_Controlled,Q_Trapped,QP_TrueToSelf,Q_ComparedToOthers,Q_MovedTooFast,Q_ShowOff,S1_LogicVsFeelings,S1_QuitsVsStays,S1_PracticalVsEmotional,S1_CompatibilityVsChemistry,S2_ImprovementVsAcceptance,S2_ShortcomingsVSAcceptance,S2_PickyVsPositives,S3_SocialAcceptanceVsDontCare,S3_SimilarVsDifferent,S4_LowStandardsVsHighStandards,S4_ImBetterVsMatch,S4_StayIfImBetterVsStayIfPartnerBetter
,35-44,Female,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Communication Style/Manners,10,6,Self-Care/Personal Hygiene/Cleanliness,8,7,Financial Choices,9,9,Honesty/Dependable/Reliable,10,8,Social Status/Sociability,10,10,Body Shape/Height/Appearance,10,Spontaneous/Unpredictable,7,Beta/Easygoing/Mild-mannered,8,Sexual/Sensual,8,Stubborn/Hard-Headed,5,39,I consider myself emotionally intelligent,,,,,,,,I felt I could do better,,I wished for something long-term,He/she encouraged me to be independent,,Self-care was important to me,I often felt emotionally drained,I often felt depressed or anxious or angry,,,,He/she often shut down,,,I often felt judged by my partner,We had good communication,,,I was able to stay true to my identity,,,I often felt my partner was showing off,51,22,50,,51,49,100,50,51,81,50,50
,35-44,Male,Homosexual,We are currently together.,7 years+,I was slightly out of his/her league.,Honesty/Dependable/Reliable,8,8,Financial Choices,5,3,"Cultured/Well-traveled/""Woke""",8,8,Occupation/Work Ethic/Self-Discipline,8,5,"Household Care, Maintenance and Cleanliness",5,3,Humorous/Witty/Clever,10,Body Shape/Height/Appearance,7,Beta/Easygoing/Mild-mannered,7,Passionate/Driven/Ambitious,5,Generous/Thoughtful/Kind,10,52,I consider myself emotionally intelligent,I was jealous,She/He was jealous,He/she was manipulative,We had great sexual chemistry throughout the relationship,,I often felt suffocated,I often wanted more attention/affection than my partner,,,,,,,,,,,,,,,,,I felt controlled,I felt trapped/stuck in the relationship/situationship,,,,,52,37,51,51,13,13,30,,49,51,50,50
,35-44,Female,Bisexual,We are currently on a 'break'.,6 months - 1 year,I was slightly out of his/her league.,Honesty/Dependable/Reliable,7,1,Self-Care/Personal Hygiene/Cleanliness,8,8,Occupation/Work Ethic/Self-Discipline,10,6,Confidence/Self-Esteem,5,8,Education/Knowledge/Street Smarts,9,6,Body Shape/Height/Appearance,8,Humorous/Witty/Clever,7,Generous/Thoughtful/Kind,8,Social/Outgoing/Extroverted,9,Sexual/Sensual,9,100,,I was jealous,She/He was jealous,He/she was manipulative,We had great sexual chemistry throughout the relationship,,I often felt suffocated,,,,,,,,,,,,,,,,,,,,,,We moved too fast,,54,20,68,50,47,27,,100,,52,71,51
,45-54,Male,Heterosexual,We are currently together.,7 years+,He/She was very much out of my league,Education/Knowledge/Street Smarts,9,9,Family Values,8,9,"Cultured/Well-traveled/""Woke""",5,9,Pursuing a Greater Purpose,8,8,Occupation/Work Ethic/Self-Discipline,9,9,Body Shape/Height/Appearance,10,Humorous/Witty/Clever,10,Stubborn/Hard-Headed,9,Social/Outgoing/Extroverted,10,Passionate/Driven/Ambitious,9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,22,63,51,32,81,44,47,,,,0
,45-54,Female,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Family Values,8,9,Education/Knowledge/Street Smarts,8,10,Confidence/Self-Esteem,7,9,Financial Choices,7,8,Occupation/Work Ethic/Self-Discipline,9,9,Generous/Thoughtful/Kind,10,Humorous/Witty/Clever,10,Open-minded/Curious/Free-Spirited,9,Intuitive/Good instinct/Emotionally Intelligent,9,Presence/Vibe,8,90,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,,,,He/she encouraged me to be independent,,,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,48,50,50,50,52,51,50,49,49,89,88,52
,65+,Male,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Honesty/Dependable/Reliable,10,10,Family Values,10,10,Education/Knowledge/Street Smarts,8,8,Confidence/Self-Esteem,8,8,"Household Care, Maintenance and Cleanliness",6,9,Humorous/Witty/Clever,8,Body Shape/Height/Appearance,10,Passionate/Driven/Ambitious,9,Open-minded/Curious/Free-Spirited,9,Over-giving/Over-forgiving/Subservient,9,53,,,,,,,,,,,I wished for something long-term,,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,100,100,51,48,53,100,50,100,49,100,100,50
,25-34,Male,Heterosexual,We are currently on a 'break'.,1-2 years,I was slightly out of his/her league.,Honesty/Dependable/Reliable,8,2,Education/Knowledge/Street Smarts,8,5,Self-Care/Personal Hygiene/Cleanliness,7,5,Confidence/Self-Esteem,6,9,Family Values,7,4,Body Shape/Height/Appearance,5,Social/Outgoing/Extroverted,6,Humorous/Witty/Clever,6,Passionate/Driven/Ambitious,5,Presence/Vibe,7,67,,,,He/she was manipulative,,I was sexually/physically attracted in the beginning and lost it over time,I often felt suffocated,,I felt I could do better,,,,,,I often felt emotionally drained,I often felt depressed or anxious or angry,I was verbally and/or emotionally abused,,,,,,,,,I felt trapped/stuck in the relationship/situationship,,,We moved too fast,,83,100,72,51,18,18,48,36,29,51,51,55
,25-34,Female,Heterosexual,We are currently together.,1-2 years,I thought we were a good match.,Religious/Spiritual Values,8,8,Honesty/Dependable/Reliable,10,10,Financial Choices,5,6,Occupation/Work Ethic/Self-Discipline,6,9,Family Values,7,10,Body Shape/Height/Appearance,10,Generous/Thoughtful/Kind,10,Race/Ethnicity,10,Sexual/Sensual,10,Presence/Vibe,10,47,,,She/He was jealous,,We had great sexual chemistry throughout the relationship,,,,,,I wished for something long-term,,,Self-care was important to me,,,,,,,,,,,,,,,,,53,56,53,51,67,54,,,,67,82,100
,25-34,Prefer not to say,Heterosexual,We are currently together.,1-2 years,He/She was slightly out of my league.,Education/Knowledge/Street Smarts,8,8,"Cultured/Well-traveled/""Woke""",6,8,Honesty/Dependable/Reliable,9,8,Self-Care/Personal Hygiene/Cleanliness,7,7,Confidence/Self-Esteem,8,7,Intuitive/Good instinct/Emotionally Intelligent,9,Sexual/Sensual,10,Presence/Vibe,9,Social/Outgoing/Extroverted,7,Humorous/Witty/Clever,8,47,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,,,I wished for something long-term,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,85,50,78,53,72,81,91,74,73,100,61,52
,25-34,Female,Bisexual,It was a mutual break up.,6 months - 1 year,I thought we were a good match.,Education/Knowledge/Street Smarts,8,8,Honesty/Dependable/Reliable,9,1,Artsy/Creative/Musical,5,10,"Cultured/Well-traveled/""Woke""",8,6,Charitable/Philanthropic,7,3,Humorous/Witty/Clever,10,Intuitive/Good instinct/Emotionally Intelligent,4,Passionate/Driven/Ambitious,10,Social/Outgoing/Extroverted,10,Sexual/Sensual,8,,I consider myself emotionally intelligent,,,He/she was manipulative,,,,I often wanted more attention/affection than my partner,,,,,,,,I often felt depressed or anxious or angry,I was verbally and/or emotionally abused,,,,,We had on/off relationship/situationship,I often felt judged by my partner,,,,,,,I often felt my partner was showing off,83,81,93,49,65,14,60,39,47,24,84,76
,35-44,Male,Heterosexual,We are currently together.,2-4 years,I thought we were a good match.,Honesty/Dependable/Reliable,8,10,Charitable/Philanthropic,5,10,Religious/Spiritual Values,6,10,Confidence/Self-Esteem,6,8,Self-Care/Personal Hygiene/Cleanliness,10,7,Body Shape/Height/Appearance,8,Soft-spoken/Shy/Introverted,8,Generous/Thoughtful/Kind,10,Humorous/Witty/Clever,7,Passionate/Driven/Ambitious,7,40,I consider myself emotionally intelligent,,,,,,I often felt suffocated,I often wanted more attention/affection than my partner,,,,,,,,,,,,He/she often shut down,,,,,I felt controlled,,,Often compared my partner to other people or other relationships,,,48,51,52,44,51,52,44,44,49,40,49,61
,25-34,Female,Heterosexual,We are currently together.,2-4 years,I thought we were a good match.,Honesty/Dependable/Reliable,10,10,Communication Style/Manners,9,10,Pursuing a Greater Purpose,10,10,Self-Care/Personal Hygiene/Cleanliness,10,10,Financial Choices,10,9,Intuitive/Good instinct/Emotionally Intelligent,10,Generous/Thoughtful/Kind,10,Race/Ethnicity,9,Open-minded/Curious/Free-Spirited,10,Presence/Vibe,10,49,I consider myself emotionally intelligent,I was jealous,,,We had great sexual chemistry throughout the relationship,,,,,,,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,49,49,84,50,50,34,49,13,14,50,49,42
,18-24,Male,Heterosexual,It was a mutual break up.,1-2 years,I thought we were a good match.,Pursuing a Greater Purpose,9,7,Honesty/Dependable/Reliable,10,8,Other (please specify),10,6,Education/Knowledge/Street Smarts,9,7,Artsy/Creative/Musical,4,10,Presence/Vibe,5,Passionate/Driven/Ambitious,9,Generous/Thoughtful/Kind,9,Humorous/Witty/Clever,8,Intuitive/Good instinct/Emotionally Intelligent,5,15,,,,,We had great sexual chemistry throughout the relationship,,,,,I felt I was not good enough for him/her,,He/she encouraged me to be independent,,,,,,,,,My privacy was often not respected,We had on/off relationship/situationship,,,,I felt trapped/stuck in the relationship/situationship,I was able to stay true to my identity,,,,94,98,87,49,60,95,92,49,50,50,99,89
,25-34,Male,Heterosexual,He/She broke up with me.,1-3 months,I thought we were a good match.,Honesty/Dependable/Reliable,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I felt I could do better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-44,Male,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Occupation/Work Ethic/Self-Discipline,7,2,Honesty/Dependable/Reliable,7,9,"Household Care, Maintenance and Cleanliness",9,4,Confidence/Self-Esteem,5,4,Financial Choices,7,2,Generous/Thoughtful/Kind,10,Body Shape/Height/Appearance,8,Humorous/Witty/Clever,8,Spontaneous/Unpredictable,7,Sexual/Sensual,9,54,I consider myself emotionally intelligent,,,,,,,,,,,,,,I often felt emotionally drained,,,,,,,,,,,,,,,,18,61,38,47,25,29,72,18,82,39,70,69
,25-34,Male,Heterosexual,We are currently together.,2-4 years,I thought we were a good match.,Religious/Spiritual Values,7,9,Honesty/Dependable/Reliable,9,9,Education/Knowledge/Street Smarts,9,7,Financial Choices,8,10,Confidence/Self-Esteem,8,6,Generous/Thoughtful/Kind,8,Beta/Easygoing/Mild-mannered,7,Passionate/Driven/Ambitious,8,Intuitive/Good instinct/Emotionally Intelligent,8,Open-minded/Curious/Free-Spirited,7,30,I consider myself emotionally intelligent,,,,,,,,,,,He/she encouraged me to be independent,,,,,,,,,,,,We had good communication,,,,,,,22,19,18,51,32,22,82,65,29,72,79,92
,35-44,Female,Heterosexual,We are currently together.,6 months - 1 year,I was slightly out of his/her league.,Honesty/Dependable/Reliable,6,9,Education/Knowledge/Street Smarts,10,7,Communication Style/Manners,6,3,Occupation/Work Ethic/Self-Discipline,8,8,Financial Choices,6,6,Race/Ethnicity,10,Body Shape/Height/Appearance,7,Humorous/Witty/Clever,7,Generous/Thoughtful/Kind,5,Intuitive/Good instinct/Emotionally Intelligent,5,52,,,,,,,,I often wanted more attention/affection than my partner,,,I wished for something long-term,,,,,,,,,He/she often shut down,,,,,,,,,,,52,85,88,51,,,44,53,70,43,51,49
,25-34,Male,Heterosexual,He/She broke up with me.,3-6 months,I thought we were a good match.,Religious/Spiritual Values,9,6,Honesty/Dependable/Reliable,9,5,Self-Care/Personal Hygiene/Cleanliness,9,10,Communication Style/Manners,9,9,Image/Fashion Sense/Body Modification,7,9,Sexual/Sensual,9,Over-giving/Over-forgiving/Subservient,8,Soft-spoken/Shy/Introverted,6,Body Shape/Height/Appearance,7,Temperamental/Volatile/Moody,1,15,I consider myself emotionally intelligent,,,He/she was manipulative,We had great sexual chemistry throughout the relationship,,,I often wanted more attention/affection than my partner,,,I wished for something long-term,,,,I often felt emotionally drained,I often felt depressed or anxious or angry,,,,,,,,,,,,,We moved too fast,,,100,49,49,,,98,100,,50,51,52
,35-44,Male,Heterosexual,I broke up with him/her.,6 months - 1 year,I was slightly out of his/her league.,Honesty/Dependable/Reliable,9,6,Education/Knowledge/Street Smarts,9,5,Image/Fashion Sense/Body Modification,6,7,Occupation/Work Ethic/Self-Discipline,7,7,Financial Choices,9,4,Body Shape/Height/Appearance,8,Sexual/Sensual,8,Generous/Thoughtful/Kind,5,Intuitive/Good instinct/Emotionally Intelligent,4,Passionate/Driven/Ambitious,4,54,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,I felt I could do better,,,,,,,,,,,,,,,,,,I was able to stay true to my identity,Often compared my partner to other people or other relationships,We moved too fast,I often felt my partner was showing off,40,83,39,51,48,35,65,36,30,71,75,50
,25-34,Male,Heterosexual,I broke up with him/her.,1-2 years,I thought we were a good match.,Honesty/Dependable/Reliable,9,9,Education/Knowledge/Street Smarts,8,8,Financial Choices,9,9,Communication Style/Manners,8,7,"Cultured/Well-traveled/""Woke""",7,8,Generous/Thoughtful/Kind,10,Body Shape/Height/Appearance,9,Sexual/Sensual,10,Passionate/Driven/Ambitious,10,Social/Outgoing/Extroverted,5,68,I consider myself emotionally intelligent,,She/He was jealous,,We had great sexual chemistry throughout the relationship,,,,,,,,,,I often felt emotionally drained,,,,,,,,,,,,,,,,23,36,49,61,14,37,23,67,19,77,92,51
,35-44,Female,Heterosexual,We are currently together.,4-7 years,I thought we were a good match.,Honesty/Dependable/Reliable,10,10,Confidence/Self-Esteem,7,8,Education/Knowledge/Street Smarts,9,9,Self-Care/Personal Hygiene/Cleanliness,10,10,Charitable/Philanthropic,8,8,Generous/Thoughtful/Kind,10,Social/Outgoing/Extroverted,6,Humorous/Witty/Clever,8,Intuitive/Good instinct/Emotionally Intelligent,7,Passionate/Driven/Ambitious,8,52,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,,,,,,,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,52,,85,53,91,90,54,17,52,54,53,52
,25-34,Female,Heterosexual,I broke up with him/her.,4-7 years,He/She was slightly out of my league.,Honesty/Dependable/Reliable,8,4,Occupation/Work Ethic/Self-Discipline,8,4,Religious/Spiritual Values,8,8,Education/Knowledge/Street Smarts,8,8,,7,5,Social/Outgoing/Extroverted,8,Humorous/Witty/Clever,10,Sexual/Sensual,10,Temperamental/Volatile/Moody,,Intuitive/Good instinct/Emotionally Intelligent,10,42,,,,,We had great sexual chemistry throughout the relationship,,,,I felt I could do better,,,,,,,,,,,,,,,,,,,Often compared my partner to other people or other relationships,,,51,51,100,50,54,51,51,51,52,52,50,49
,25-34,Male,Heterosexual,We are currently together.,2-4 years,I was slightly out of his/her league.,Honesty/Dependable/Reliable,9,10,"Cultured/Well-traveled/""Woke""",10,9,Image/Fashion Sense/Body Modification,10,9,Financial Choices,8,8,"Household Care, Maintenance and Cleanliness",10,10,Body Shape/Height/Appearance,10,Beta/Easygoing/Mild-mannered,9,Intuitive/Good instinct/Emotionally Intelligent,8,Generous/Thoughtful/Kind,10,Presence/Vibe,10,84,I consider myself emotionally intelligent,,,,,,,I often wanted more attention/affection than my partner,,,,,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,51,0,,48,100,100,97,50,45,100,47,52
,25-34,Female,Homosexual,It was a mutual break up.,2-4 years,I was very much out of his/her league.,Pursuing a Greater Purpose,8,3,Communication Style/Manners,10,2,Education/Knowledge/Street Smarts,8,3,Confidence/Self-Esteem,7,3,Honesty/Dependable/Reliable,10,5,Presence/Vibe,10,Social/Outgoing/Extroverted,5,Humorous/Witty/Clever,10,Generous/Thoughtful/Kind,10,Sexual/Sensual,10,100,,,,,We had great sexual chemistry throughout the relationship,,I often felt suffocated,,,,,,,Self-care was important to me,I often felt emotionally drained,I often felt depressed or anxious or angry,,,I often shut down,,My privacy was often not respected,We had on/off relationship/situationship,,,,I felt trapped/stuck in the relationship/situationship,,,We moved too fast,,49,85,91,46,,51,51,96,38,78,80,52
,25-34,Male,Heterosexual,It was a mutual break up.,2-4 years,I was slightly out of his/her league.,Honesty/Dependable/Reliable,10,5,Occupation/Work Ethic/Self-Discipline,10,3,Financial Choices,9,1,Education/Knowledge/Street Smarts,10,4,Confidence/Self-Esteem,5,10,Body Shape/Height/Appearance,7,Spontaneous/Unpredictable,8,Social/Outgoing/Extroverted,9,Humorous/Witty/Clever,8,Selfish/Self-Centered/Uncompromising,,100,,,,,We had great sexual chemistry throughout the relationship,I was sexually/physically attracted in the beginning and lost it over time,,,I felt I could do better,,,,I had unhealthy coping mechanisms to deal with relationship stress,,,I often felt depressed or anxious or angry,,,,He/she often shut down,,,,,,,,,,,51,85,50,67,50,50,49,53,76,100,100,49
,45-54,Male,Heterosexual,We are currently together.,1-2 years,I thought we were a good match.,Honesty/Dependable/Reliable,9,5,Communication Style/Manners,6,8,Pursuing a Greater Purpose,10,8,Artsy/Creative/Musical,9,8,Education/Knowledge/Street Smarts,9,7,Intuitive/Good instinct/Emotionally Intelligent,8,Generous/Thoughtful/Kind,9,Sexual/Sensual,7,Presence/Vibe,9,Soft-spoken/Shy/Introverted,10,70,I consider myself emotionally intelligent,I was jealous,,,,I was sexually/physically attracted in the beginning and lost it over time,,I often wanted more attention/affection than my partner,I felt I could do better,I felt I was not good enough for him/her,I wished for something long-term,He/she encouraged me to be independent,,Self-care was important to me,,I often felt depressed or anxious or angry,,,,He/she often shut down,,We had on/off relationship/situationship,,,,,,,We moved too fast,,72,95,54,50,51,50,55,52,49,81,94,88
,45-54,Female,Heterosexual,He/She broke up with me.,6 months - 1 year,I thought we were a good match.,Honesty/Dependable/Reliable,7,5,Confidence/Self-Esteem,5,3,"Cultured/Well-traveled/""Woke""",6,4,Communication Style/Manners,4,6,Occupation/Work Ethic/Self-Discipline,7,7,Open-minded/Curious/Free-Spirited,8,Body Shape/Height/Appearance,9,Humorous/Witty/Clever,8,Spontaneous/Unpredictable,8,Generous/Thoughtful/Kind,8,76,,,,He/she was manipulative,We had great sexual chemistry throughout the relationship,,,,,,I wished for something long-term,,,,I often felt emotionally drained,,,,,,,,,,,,,,,,53,85,59,51,38,17,34,51,49,29,93,52
,45-54,Male,Heterosexual,We are currently together.,4-7 years,I thought we were a good match.,Occupation/Work Ethic/Self-Discipline,10,10,Financial Choices,10,10,Honesty/Dependable/Reliable,9,10,"Cultured/Well-traveled/""Woke""",7,9,Self-Care/Personal Hygiene/Cleanliness,10,10,Beta/Easygoing/Mild-mannered,10,Race/Ethnicity,10,Body Shape/Height/Appearance,9,Over-giving/Over-forgiving/Subservient,9,Other (please specify),10,54,,,,,,,,,,,,He/she encouraged me to be independent,,,,,,,,,,,,,,,I was able to stay true to my identity,,,,20,45,52,30,52,49,55,61,31,51,51,46
,25-34,Male,Heterosexual,We are currently together.,Under 1 month,I thought we were a good match.,Communication Style/Manners,9,9,Honesty/Dependable/Reliable,9,9,Religious/Spiritual Values,6,9,Financial Choices,9,9,Confidence/Self-Esteem,9,9,Generous/Thoughtful/Kind,10,Passionate/Driven/Ambitious,10,Beta/Easygoing/Mild-mannered,10,Social/Outgoing/Extroverted,10,Sexual/Sensual,10,0,I consider myself emotionally intelligent,,,,,,,,,,,,,,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,49,49,47,50,56,47,48,0,19,88,50,47
,25-34,Female,Heterosexual,We are currently together.,2-4 years,I was slightly out of his/her league.,Honesty/Dependable/Reliable,9,7,Communication Style/Manners,7,8,Financial Choices,7,10,Confidence/Self-Esteem,8,8,Pursuing a Greater Purpose,6,6,Generous/Thoughtful/Kind,9,Beta/Easygoing/Mild-mannered,10,Body Shape/Height/Appearance,10,Social/Outgoing/Extroverted,6,Passionate/Driven/Ambitious,4,43,I consider myself emotionally intelligent,,,,,,,,,,,,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,We moved too fast,,69,73,60,49,31,,,34,,80,37,76